neighborhood,Borough,season,sighting_count,Borough_encoded,season_encoded,neighborhood_encoded,cluster,risk_level
Allerton,BRONX,Fall,130,0,0,0,1,Medium
Allerton,BRONX,Spring,122,0,1,0,1,Medium
Allerton,BRONX,Summer,143,0,2,0,1,Medium
Allerton,BRONX,Winter,102,0,3,0,1,Medium
Alphabet City,MANHATTAN,Fall,217,2,0,1,1,Medium
Alphabet City,MANHATTAN,Spring,202,2,1,1,1,Medium
Alphabet City,MANHATTAN,Summer,257,2,2,1,1,Medium
Alphabet City,MANHATTAN,Winter,127,2,3,1,0,Low
Annadale,STATEN ISLAND,Fall,7,4,0,2,0,Low
Annadale,STATEN ISLAND,Spring,8,4,1,2,0,Low
Annadale,STATEN ISLAND,Summer,21,4,2,2,0,Low
Annadale,STATEN ISLAND,Winter,1,4,3,2,0,Low
Arden Heights,STATEN ISLAND,Fall,44,4,0,3,0,Low
Arden Heights,STATEN ISLAND,Spring,49,4,1,3,0,Low
Arden Heights,STATEN ISLAND,Summer,119,4,2,3,0,Low
Arden Heights,STATEN ISLAND,Winter,25,4,3,3,0,Low
Arrochar,STATEN ISLAND,Fall,41,4,0,4,0,Low
Arrochar,STATEN ISLAND,Spring,63,4,1,4,0,Low
Arrochar,STATEN ISLAND,Summer,58,4,2,4,0,Low
Arrochar,STATEN ISLAND,Winter,9,4,3,4,0,Low
Arverne,QUEENS,Fall,2,3,0,5,0,Low
Arverne,QUEENS,Spring,5,3,1,5,0,Low
Arverne,QUEENS,Summer,9,3,2,5,0,Low
Arverne,QUEENS,Winter,13,3,3,5,0,Low
Astoria,BRONX,Spring,7,0,1,6,1,Medium
Astoria,BRONX,Winter,4,0,3,6,1,Medium
Astoria,QUEENS,Fall,596,3,0,6,2,High
Astoria,QUEENS,Spring,710,3,1,6,2,High
Astoria,QUEENS,Summer,736,3,2,6,2,High
Astoria,QUEENS,Winter,399,3,3,6,0,Low
Auburndale,QUEENS,Fall,2,3,0,7,0,Low
Auburndale,QUEENS,Spring,3,3,1,7,0,Low
Auburndale,QUEENS,Summer,5,3,2,7,0,Low
Auburndale,QUEENS,Winter,2,3,3,7,0,Low
Bath Beach,BROOKLYN,Fall,61,1,0,8,1,Medium
Bath Beach,BROOKLYN,Spring,62,1,1,8,1,Medium
Bath Beach,BROOKLYN,Summer,75,1,2,8,1,Medium
Bath Beach,BROOKLYN,Winter,47,1,3,8,1,Medium
Battery Park City,MANHATTAN,Fall,15,2,0,9,1,Medium
Battery Park City,MANHATTAN,Spring,3,2,1,9,1,Medium
Battery Park City,MANHATTAN,Summer,4,2,2,9,1,Medium
Battery Park City,MANHATTAN,Winter,4,2,3,9,0,Low
Bay Ridge,BROOKLYN,Fall,286,1,0,10,1,Medium
Bay Ridge,BROOKLYN,Spring,433,1,1,10,1,Medium
Bay Ridge,BROOKLYN,Summer,403,1,2,10,1,Medium
Bay Ridge,BROOKLYN,Winter,256,1,3,10,1,Medium
