year,Borough,sighting_count
2020,BRONX,2762
2020,BROOKLYN,5995
2020,MANHATTAN,4180
2020,QUEENS,2711
2020,STATEN ISLAND,614
2021,BRONX,4469
2021,BROOKLYN,9500
2021,MANHATTAN,6947
2021,QUEENS,3400
2021,STATEN ISLAND,694
2022,BRONX,4127
2022,BROOKLYN,10124
2022,MANHATTAN,7455
2022,QUEENS,4092
2022,STATEN ISLAND,700
2023,BRONX,3618
2023,BROOKLYN,10199
2023,MANHATTAN,6581
2023,QUEENS,4357
2023,STATEN ISLAND,691
2024,BRONX,3846
2024,BROOKLYN,10191
2024,MANHATTAN,5824
2024,QUEENS,4652
2024,STATEN ISLAND,677
2025,BRONX,3389
2025,BROOKLYN,7338
2025,MANHATTAN,5271
2025,QUEENS,3290
2025,STATEN ISLAND,608
2026,BRONX,1077
2026,BROOKLYN,2331
2026,MANHATTAN,1697
2026,QUEENS,1066
2026,STATEN ISLAND,199
